"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Davidson P and Jönsson P and Johansson M","2022","10.1016/j.jbtep.2021.101715","The association between mnemonic discrimination ability and differential fear learning.","Journal of behavior therapy and experimental psychiatry","https://pubmed.ncbi.nlm.nih.gov/34959001/","Humans;Memory;Discrimination (Psychology);*Galvanic Skin Response;Association Learning/physiology;Conditioning, Classical/physiology;Learning/physiology;*Fear/psychology","no","no","no","no","CD","111",NA,NA,NA,"unclear","both","covariates: pattern completion bias (PCB), mnemonic discrimination (MD)","not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, log",NA,NA,NA,"To control for individual differences in responses between participants, the score for each trial was divided with the maximum response for that participant to any of the trials (Lykken & Venables, 1971). In order to make the data approach a normal distribution, all averaged values were log transformed (ln). To be able to log transform responses scored as 0, a constant of 1 was added to all values before log transforming.","yes, at least literature","Lykken & Venables, 1971","rc: trial-level; log: averaged values","within","4","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dural S and Gür E and Çetinkaya H","2022","10.3758/s13420-022-00536-2","Testing the memory reconsolidation hypothesis in a fear extinction paradigm: The effects of ecological and arbitrary stimuli.","Learning & behavior","https://pubmed.ncbi.nlm.nih.gov/35710961/","Humans;Galvanic Skin Response;Arousal;Memory;Conditioning, Classical/physiology;*Fear/physiology;*Extinction, Psychological/physiology","no","no","no","no","CD","326",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqr, rc",NA,NA,NA,"normalized using square root transformation. Then the normalized SCR values for CSs were corrected by dividing each response by the participant’s average US response.",NA,NA,"trial-level ","mixed","10","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dymond S and Xia W and Lloyd K and Schlund MW and Zuj DV","2023","10.1177/17470218221127660","Working hard to avoid: Fixed-ratio response effort and maladaptive avoidance in humans.","Quarterly journal of experimental psychology (2006)","https://pubmed.ncbi.nlm.nih.gov/36112817/","Attention;Humans;Reinforcement, Psychology;Humanism;Humanities;*Anxiety;Extinction, Psychological/physiology;Fear/physiology;*Avoidance Learning/physiology","no","no","no","no","CD","36","16","20.2","2.4","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqr",NA,NA,NA,"Prior to analysis, SCRs were range-corrected per participant to account for individual differences (Lykken & Venables, 1971) and square root transformed across all phases to normalise the data (Dawson et al., 2007).","yes, at least literature","rc: Lykken & Venables, 1971; sqr: Dawson et al., 2007","rc: per participant; sqr: across all phases","within","3","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denis D and Bottary R and Cunningham TJ and Drummond SPA and Straus LD","2023","10.1093/sleep/zsad209","Beta spectral power during sleep is associated with impaired recall of extinguished fear.","Sleep","https://pubmed.ncbi.nlm.nih.gov/37542729/","Female;Humans;Galvanic Skin Response;Male;Sleep;Pilot Projects;Extinction, Psychological/physiology;Mental Recall/physiology;*Fear/physiology;*Stress Disorders, Post-Traumatic/complications","no","no","no","no","CD","73","29","24","5","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,"z","z",NA,NA,NA,NA,"To reduce between-subjects variability created by individual differences in startle magnitude overall, each individual participant’s blocks were standardized into
Z-scores such that all scores represented departure from each individual’s mean level of potentiated startle across the entire experiment.","","","each individual participant’s blocks were standardized","acquisition data not reported","acquisition data not reported","acquisition data not reported","acquisition data not reported","15","Only study 1 included, becasue study 2 is with PTSD patients; healthy participants in study 1: diagnostic interviews were carried out, see original publication of this dataset: https://doi.org/10.1016/j.bpsc.2016.05.004; Startle was measured at orbicularis oculi -> both columns are filled out; It looks like acquisition data are NOT reported!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laing PAF and Steward T and Davey CG and Felmingham KL and Fullana MA and Vervliet B and Greaves MD and Moffat B and Glarin RK and Harrison BJ","2022","10.1523/JNEUROSCI.2181-21.2022","Cortico-Striatal Activity Characterizes Human Safety Learning via Pavlovian Conditioned Inhibition.","The Journal of neuroscience : the official journal of the Society for           Neuroscience","https://pubmed.ncbi.nlm.nih.gov/35577553/","Humans;Magnetic Resonance Imaging;Humanism;Humanities;Fear/physiology;Brain/physiology;*Brain Mapping;*Conditioning, Classical/physiology","no","no","no","no","CD","49",NA,NA,NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"unclear, probably raw",NA,NA,NA,"unclear, probably raw",NA,NA,NA,"with","3","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asthana, Manish Kumar and Brunhuber, Bettina and Mühlberger, Andreas and Reif, Andreas and Schneider, Simone and Herrmann, Martin J.","2016","10.1093/ijnp/pyv137","Preventing the return of fear using reconsolidation update mechanisms depends on the met-allele of the brain derived neurotrophic factor val66met polymorphism","International Journal of Neuropsychopharmacology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-37089-005&site=ehost-live","Brain;fear conditioning;Alleles;Brain-Derived Neurotrophic Factor;Conditioned Fear;Brain Derived Neurotrophic Factor;Memory;reconsolidation;Genetics;BDNF;brain derived neurotrophic factor;genetics memory;Nerve Growth Factors","no","no","no","no","CD","143","42",NA,NA,"yes","both","BDNF Genotype","not reported",NA,NA,"not reported",NA,"yes","Greenhouse-
Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,"rc by using
the maximum (unconditioned) deflection (peak between 4.5 and
7.5 s during fear acquisition) elicited by the UCS as the maximum
range for each individual","yes","reference","mixed","mixed","3","ANOVA","rmANOVA","1","sample 91 without excl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnes-Horowitz, Nora M. and Echiverri-Cohen, Aileen and Ruiz, Julian and Zbozinek, Tomislav D. and Kim, Rebecca and Treanor, Michael and Rosenfield, David and Ritz, Thomas and Meuret, Alicia M. and Craske, Michelle G.","2023","10.1177/20438087231161188","Exploratory study of threat sensitivity as a moderator of positive affect treatment and negative affect treatment for depression and anxiety","Journal of Experimental Psychopathology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-51943-001&site=ehost-live","Galvanic Skin Response;fear conditioning;skin conductance;Anxiety;Threat;Extinction (Learning);Negative Emotions;Expectations;Cognitive Behavior Therapy;moderators;negative affect treatment;positive affect treatment;Positive Emotions","no","no","no","no","CD","118","29","35.27","13.85","partially","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no","not reported",NA,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,"range corrections were calculated by identifying the maximum SCR to any CS for each participant. SCRs were square-root transformed and divided by the range correction value,","yes","reference","trial-level","mixed","8","mixed multilevel model","other","1","n = 43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bos, Marieke Geerte Nynke and Beckers, Tom and Kindt, Merel","2014","10.3389/fnbeh.2014.00412","Noradrenergic blockade of memory reconsolidation: A failure to reduce conditioned fear responding","Frontiers in Behavioral Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-05551-001&site=ehost-live","fear conditioning;Conditioned Fear;Memory;Extinction (Learning);Reinstatement;fear potentiated startle;reconsolidation;extinction learning;Drugs;propranolol","no","no","no","no","CD","44","28","20.66","2.17","yes","both","STAIT, SPQ, STAIS, Systolic BP, Diastolic BP","not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","−3 < Z > 3; 0.69%",NA,NA,NA,"raw","log",NA,NA,NA,"LG10(SCR + 1.5) ","yes","reference","not reported","within","8","ANOVA","rmANOVA","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berg, Hannah and Hunt, Christopher and Cooper, Samuel E. and Olatunji, Bunmi O. and Lissek, Shmuel","2021","10.1016/j.brat.2021.103966","Generalization of conditioned disgust and the attendant maladaptive avoidance: Validation of a novel paradigm and effects of trait disgust-proneness","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-91108-001&site=ehost-live","Fear;Fear conditioning;Conditioned Fear;Stimulus Generalization;Cognitive Generalization;Anxiety disorders;Avoidance Conditioning;Stimulus generalization;Disgust;Behavioral avoidance;Disgust conditioning","no","no","no","no","CD","111","46","19.43","1.29","not reported","both","disgust-proneness","not reported",NA,NA,"not reported",NA,"not reported","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,"no",NA,"not reported","mixed","3","ANOVA","rmANOVA","1","n = 65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baumann, Christian and Schiele, Miriam A. and Herrmann, Martin J. and Lonsdorf, Tina B. and Zwanzger, Peter and Domschke, Katharina and Reif, Andreas and Deckert, Jürgen and Pauli, Paul","2017","10.1027/2151-2604/a000304","Effects of an anxiety-specific psychometric factor on fear conditioning and fear generalization","Zeitschrift für Psychologie","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-54530-005&site=ehost-live","Risk Factors;Models;Anxiety Disorders;fear conditioning;anxiety;Psychometrics;Anxiety;Conditioned Fear;generalization;Generalization (Learning);Etiology;Factor Analysis;tripartite model","no","no","no","no","CD","1582","914","24.31","4.76","yes","group",NA,"not specified",NA,NA,"not reported",NA,"yes","Greenhouse-
Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"y =ln(1 + SCR)","no",NA,"trial-level","mixed","4","ANOVA","rmANOVA","1","n_SCR = 40 in sample 1; sample 2 not reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balderston NL and Helmstetter FJ","2010","10.1037/a0019927","Conditioning with masked stimuli affects the timecourse of skin conductance responses.","Behavioral neuroscience","https://pubmed.ncbi.nlm.nih.gov/20695647/","Female;Humans;Time Factors;Male;Adolescent;Fear;Young Adult;Skin;Conditioning, Classical/*physiology;Chi-Square Distribution;Monte Carlo Method;Association Learning/*physiology;Galvanic Skin Response/*physiology;Awareness/physiology;Perceptual Masking/*physiology;Electric Stimulation/methods","no","no","no","no","CD","22","13","19.83","2.53","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"other","other",NA,NA,"Raw values for each trial were normalized to that trials average baseline SCL and expressed as a percent change from that baseline value. SCR time course data were obtained by averaging the percent change values across participants at each time point during the sample period.","no",NA,"trial-level","mixed","6","ANOVA","rmANOVA","1","n = 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bos, Marieke G.N. and Beckers, Tom and Kindt, Merel","2012","10.1016/j.biopsycho.2012.01.007","The effects of noradrenergic blockade on extinction in humans","Biological Psychology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-04541-001&site=ehost-live","Attention;Female;Humans;Time Factors;Male;Psychiatric Status Rating Scales;Extinction, Psychological;Young Adult;Anxiety Disorders;Conditioning, Classical;extinction;Acoustic Stimulation;Electromyography;Anxiety;Extinction (Learning);attention;psychiatric disorders;Pain Measurement;Electroshock;Norepinephrine;Propranolol;Double-Blind Method;Blood Pressure;Adrenergic beta-Antagonists;Humanism;Humanities;propranolol;noradrenergic blockade","no","no","no","no","CD","30","20","21.04","0.047","partially","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","not reported","not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","3 SD",NA,NA,NA,"t","log",NA,NA,NA,"T = (zx10)+50; ln(SCR+1.5)","yes","reference","trial-level","mixed","4","ANOVA","rmANOVA","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvarez, Ruben P. and Johnson, Linda and Grillon, Christian","2007","10.1101/lm.493707","Contextual-specificity of short-delay extinction in humans: Renewal of fear-potentiated startle in a virtual environment","Learning & Memory","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-16915-003&site=ehost-live","Female;Humans;Time Factors;Galvanic Skin Response;Male;Extinction, Psychological;Fear;Adult;Conditioning, Classical;Reflex, Startle;Blinking;Electromyography;Anxiety;Conditioned Fear;Extinction (Learning);Startle Reflex;Virtual Reality;Avoidance Learning;Contextual Associations;Electroshock;User-Computer Interface;Humanism;Humanities;contextual specificity;fear potentiated startle renewal;short delay extinction","no","no","no","no","CD","16","8","26.7","7.8","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","Greenhouse-
Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"t","log",NA,NA,NA,"T = (zx10)+50; log(SCR+1)","yes","reference","trial-level","within","6","ANOVA","rmANOVA","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agren, Thomas and Engman, Jonas and Frick, Andreas and Björkstrand, Johannes and Larsson, Elna-Marie and Furmark, Tomas and Fredrikson, Mats","2012","10.1126/science.1223006","Disruption of reconsolidation erases a fear memory trace in the human amygdala","Science","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-26387-005&site=ehost-live","Female;Humans;Male;Extinction, Psychological;Fear;Amygdala;Young Adult;Brain Mapping;Magnetic Resonance Imaging;Cues;Mental Recall;Conditioned Fear;Memory;Functional Magnetic Resonance Imaging;Neuroimaging;Memory Trace;Conditioning (Psychology);Biological Neural Networks;Humanism;Humanities;brain circuits;fear memory trace;functional brain imaging;human amygdala;reconsolidation disruption","no","no","no","no","CD","30","16","24","0.48","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc",NA,NA,NA,NA,"yes","reference","trial-level","not reported",NA,"not reported",NA,"1","n = 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvarez, Ruben P. and Biggs, Arter and Chen, Gang and Pine, Daniel S. and Grillon, Christian","2008","10.1523/JNEUROSCI.1246-08.2008","Contextual fear conditioning in humans: Cortical-hippocampal and amygdala contributions","The Journal of Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-08676-016&site=ehost-live","Female;Humans;Time Factors;Galvanic Skin Response;Male;Fear;Adult;Models, Biological;Amygdala;Hippocampus;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Oxygen;amygdala;Aversion Conditioning;hippocampus;Cerebral Cortex;contextual fear conditioning;Contextual Associations;Psychophysics;Conditioning (Psychology);Neural Pathways;Humanism;Humanities;cortex","no","no","no","no","CD","13","6","24.2","2.7","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","Greenhouse-
Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log, rc","log, rc",NA,NA,"log transformation (log[1+ SCR]) was performed to normalize the distribution, and the magnitudes were range corrected (SCR/SCRmax) for each subject to properly correct for interindividual variance.","yes","reference","trial-level","within","3","ANOVA","rmANOVA","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blechert, Jens and Michael, Tanja and Williams, S. Lloyd and Purkis, Helena M. and Wilhelm, Frank H.","2008","10.1016/j.lmot.2007.03.003","When two paradigms meet: Does evaluative learning extinguish in differential fear conditioning?","Learning and Motivation","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-01018-005&site=ehost-live","Fear;Pavlovian conditioning;Conditioned Fear;Classical Conditioning;Conditioned Stimulus;Unconditioned Stimulus;differential fear conditioning;conditioned stimulus;unconditioned stimulus;Evaluation;evaluative learning;indices extinction;signal learning","no","no","no","no","CD","38","38","24.8","6.9","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"yes","Greenhouse-
Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"log(SCR+1)","no",NA,"trial-level","mixed","3","ANOVA","rmANOVA","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baas, Johanna M. and Nugent, Monique and Lissek, Shmuel and Pine, Daniel S. and Grillon, Christian","2004","10.1016/j.biopsych.2004.02.024","Fear Conditioning in Virtual Reality Contexts: A New Tool for the Study of Anxiety","Biological Psychiatry","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-14822-002&site=ehost-live","Female;Humans;Male;Fear;Adult;Conditioning, Classical;Association Learning;Cues;Analysis of Variance;Awareness;Reflex, Startle;fear conditioning;anxiety;Anxiety;Conditioned Fear;startle reflex;Startle Reflex;virtual reality;Virtual Reality;Electroshock","no","no","no","no","CD","22","11","26.4","0","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,"no",NA,"not reported","within","2","ANOVA","rmANOVA","1","n = 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
